"ID","Priority","Audience","Visible when","File","Line","Channel","Prints","Log text","Flagged terms","Why it confuses","Suggested text","Action","Brendan feedback","Decision"
"A1","High","user","default (every run)","Osprey.Tasks/Pass2FdrSidecar.cs","1866","LogInfo","once per run (second pass)","OSPREY_PASS2_QVALUE={0}: recomputing q/PEP by streaming {1} file(s), frozen-model scores swapped in for up to {2} reconciled survivor observations - no retrain, one file resident at a time{3}., competition CONSTRAINED to the {stratumBaseIds.Count}-base_id protein stratum","survivor/retained set; base_id; stratum; frozen; competition; resident; OSPREY_* env var","Default mode announces itself by an environment-variable assignment the user never made; six internal terms in one sentence. Decided: never name an env var on a default path; frozen-model/no-retrain wording dropped; 'detections' = passed the current cutoff.","Second-pass FDR over 82 files: recomputing q-values for 165,339 precursor candidates from proteins with 2 or more detections; other candidates keep their first-pass q-values.","rewrite; name OSPREY_PASS2_QVALUE only when the user set it","",""
"A10","High","user","default (every run)","Osprey.Tasks/PerFileScoringTask.cs","2003","LogInfo","once per second-pass run","Hydrated rescore bundle for {0} file(s) ({1} reconciliation actions, {2} refined RT calibration(s), {3} gap-fill target(s))","bundle/envelope; use_cwt/forced/gap-fill/actions; code identifier","'hydrate' and 'bundle' are both internal. Decided: 'cross-run reconciliation files' ('reconciliation plan' was opaque; 'results' means end results to a user).","Loading cross-run reconciliation files... / Loaded cross-run reconciliation files for 82 runs: 2,049,133 peak re-picks and boundary imputations, 18,237 missing peaks, 82 refined RT calibrations.","rewrite","",""
"A10","High","user","default (every run)","Osprey.Tasks/RescoreHydration.cs","347","ProgressReporter","once per second-pass run","Hydrating reconciliation bundle...","bundle/envelope; code identifier","'hydrate' and 'bundle' are both internal. Decided: 'cross-run reconciliation files' ('reconciliation plan' was opaque; 'results' means end results to a user).","Loading cross-run reconciliation files... / Loaded cross-run reconciliation files for 82 runs: 2,049,133 peak re-picks and boundary imputations, 18,237 missing peaks, 82 refined RT calibrations.","rewrite","",""
"A10","High","user","default (every run)","Osprey.Tasks/RescoreHydration.cs","577","ProgressReporter","once per second-pass run","Hydrating reconciliation bundle...","bundle/envelope","'hydrate' and 'bundle' are both internal. Decided: 'cross-run reconciliation files' ('reconciliation plan' was opaque; 'results' means end results to a user).","Loading cross-run reconciliation files... / Loaded cross-run reconciliation files for 82 runs: 2,049,133 peak re-picks and boundary imputations, 18,237 missing peaks, 82 refined RT calibrations.","rewrite","",""
"A11","High","user","default (every run)","Osprey.Tasks/Pass2FdrSidecar.cs","567","ProgressReporter","once per second-pass run","Reloading 2nd-pass FDR scores ({0}) for {1} file(s)...","code identifier","The second pass's progress headings narrate the code structure (seed, collect, stream, patch, reload) rather than what the user is waiting for; 'protein-compact:' as a prefix reads as a file or protein name.","Checking second-pass intermediate files for 82 files...","rewrite","",""
"A11","High","user","default (every run)","Osprey.Tasks/Pass2FdrSidecar.cs","749","ProgressReporter","once per second-pass run","Seeding pass-1 scalars from {0} file(s)...","scalars; code identifier","The second pass's progress headings narrate the code structure (seed, collect, stream, patch, reload) rather than what the user is waiting for; 'protein-compact:' as a prefix reads as a file or protein name.","Restoring first-pass scores for 82 files...","rewrite","",""
"A11","High","user","default (every run)","Osprey.Tasks/Pass2FdrSidecar.cs","1456","ProgressReporter","once per second-pass run","Patching pass-2 protein q into {0} sidecar(s)...","sidecar","The second pass's progress headings narrate the code structure (seed, collect, stream, patch, reload) rather than what the user is waiting for; 'protein-compact:' as a prefix reads as a file or protein name.","Writing protein q-values for 82 files...","rewrite","",""
"A11","High","user","default (every run)","Osprey.Tasks/Pass2FdrSidecar.cs","1747","ProgressReporter","once per second-pass run","Collecting pass-2 survivors from {0} file(s)...","","The second pass's progress headings narrate the code structure (seed, collect, stream, patch, reload) rather than what the user is waiting for; 'protein-compact:' as a prefix reads as a file or protein name.","Collecting second-pass precursor candidates from 82 files...","rewrite","",""
"A11","High","user","default (every run)","Osprey.Tasks/Pass2FdrSidecar.cs","1965","ProgressReporter","once per second-pass run","{0}: streaming the competition over {1} file(s)...","competition","The second pass's progress headings narrate the code structure (seed, collect, stream, patch, reload) rather than what the user is waiting for; 'protein-compact:' as a prefix reads as a file or protein name.","Recomputing q-values for precursor candidates from proteins with 2 or more detections across 82 files...","rewrite","",""
"A11","High","user","default (every run)","Osprey.Tasks/Pass2FdrSidecar.cs","2212","ProgressReporter","once per second-pass run","{0}: writing experiment q to {1} file(s)...","sidecar","The second pass's progress headings narrate the code structure (seed, collect, stream, patch, reload) rather than what the user is waiting for; 'protein-compact:' as a prefix reads as a file or protein name.","Writing experiment-level q-values for 82 files...","rewrite","",""
"A12","High","user","default (every run)","Osprey.Tasks/RescoreCompaction.cs","226","ProgressReporter","once per second-pass run","Applying the retained set across {0} file(s)...","survivor/retained set","Design-document term.","Trimming each file to the precursor candidates kept for cross-run reconciliation...","rewrite","",""
"A13","High","user","default (every run)","Osprey.Scoring/DecoyGenerator.cs","229","LogInfo","once per library load","Generating decoys using {0} method...","enum ToString","Enum ToString() leaking (Reverse).","Generating reverse-sequence decoys...","Skyline GetLocalizedString pattern over resource strings","",""
"A13","High","user","default (every run)","Osprey/Program.cs","281","LogInfo","startup banner","Library: {0} ({1})(none)?","enum ToString","Enum ToString() leaking (DiannTsv).","Library: {path} (DIA-NN TSV)","Skyline GetLocalizedString pattern over resource strings","",""
"A13","High","user","default (every run)","Osprey/Program.cs","309","LogInfo","startup banner","Resolution: {0}","enum ToString","Enum ToString() leaking; CLI accepts --resolution unit|hram|auto. Decided: Skyline GetLocalizedString extension over resource strings, ready for a later RESX pass.","Resolution: unit","Skyline GetLocalizedString pattern over resource strings","",""
"A2","High","user","default (every run)","Osprey.Tasks/FirstPassFdrTask.cs","2768","logDelegate","once per run","protein-compact: {0} proteins with >=2 detected peptides -> stratum of {1} base_ids (from {2} detected peptides).","compaction; base_id; stratum","'stratum' and 'base_ids' are struct-level names; the line is really announcing which precursors get new q-values in the second pass.","4,177 proteins have 2 or more detections (30,846 detected peptides); their 165,339 precursor candidates go to second-pass FDR.","rewrite","",""
"A3","High","user","default (every run)","Osprey.FDR/PercolatorEngine.cs","818","LogInfo","once per FDR pass","[PATH] {0} projection streaming ingest (RunStreamingIntoProjection): {1} rows","projection; code identifier","A C# method name in the log with an undocumented [PATH] tag; it is the first line of the FDR section.","(none; 'Running First-pass Percolator on N entries...' already covers it)","gate behind --perf-stats; add [PATH] to OspreyOutput.IsStatLine","",""
"A3","High","user","default (every run)","Osprey.FDR/PercolatorScorer.cs","777","LogInfo","once per FDR pass","[PATH] {0} streaming ingest (RunStreamingFirstPass): {1} rows","code identifier","A C# method name in the log with an undocumented [PATH] tag; it is the first line of the FDR section.","(none; 'Running First-pass Percolator on N entries...' already covers it)","gate behind --perf-stats; add [PATH] to OspreyOutput.IsStatLine","",""
"A5","High","user","default (every run)","Osprey.Core/LibraryStringInterner.cs","170","LogInfo","twice per library load, every leg","Interned library strings: {0} distinct / {1} total ({2:F1}% collapsed)","byproduct/interned/parquet","String interning is a memory technique; nothing a user can act on, and it is in the first ten lines of every run.","(none)","gate behind --verbose","",""
"A5","High","user","default (every run)","Osprey.IO/DecoyPairingManifest.cs","358","LogInfo","twice per library load, every leg","Library-decoy mode: interned manifest protein accessions ({0} distinct / {1} total, {2:F1}% collapsed)","byproduct/interned/parquet","String interning is a memory technique; nothing a user can act on, and it is in the first ten lines of every run.","(none)","gate behind --verbose","",""
"A6","High","user","default (every run)","Osprey.Tasks/FirstPassFdrTask.cs","1793","LogInfo","once per run","First-pass compaction: {0} -> {1} entries ({2} passing base_ids; {3} action(s) dropped)","entry/entries; compaction; base_id; use_cwt/forced/gap-fill/actions","'compaction' is a memory-bounding step; the user cares that a subset is carried forward. The base_id count mixes three admission rules (run-level peptide q, protein q, protein with 2+ detections) and belongs behind --verbose.","Kept 996,439 of 1,448,698 precursor candidates for cross-run reconciliation.","rewrite","",""
"A6","High","user","default (every run)","Osprey.Tasks/FirstPassFdrTask.cs","1854","LogInfo","once per run","First-pass compaction: {0} -> {1} entries ({2} passing base_ids)","entry/entries; compaction; base_id","'compaction' is a memory-bounding step; the user cares that a subset is carried forward. The base_id count mixes three admission rules (run-level peptide q, protein q, protein with 2+ detections) and belongs behind --verbose.","Kept 996,439 of 1,448,698 precursor candidates for cross-run reconciliation.","rewrite","",""
"A6","High","user","default (every run)","Osprey.Tasks/FirstPassFdrTask.cs","3498","LogInfo","once per run","First-pass compaction: {0} -> {1} entries ({2} passing base_ids)","entry/entries; compaction; base_id","'compaction' is a memory-bounding step; the user cares that a subset is carried forward. The base_id count mixes three admission rules (run-level peptide q, protein q, protein with 2+ detections) and belongs behind --verbose.","Kept 996,439 of 1,448,698 precursor candidates for cross-run reconciliation.","rewrite","",""
"A6","High","user","default (every run)","Osprey.Tasks/PerFileRescoreTask.cs","822","LogInfo","once per run"," --task SecondPassFDR compaction: {0} -> {1} entries ({2} passing base_ids; {3} action(s) dropped)","entry/entries; compaction; base_id; use_cwt/forced/gap-fill/actions","'compaction' is a memory-bounding step; the user cares that a subset is carried forward. The base_id count mixes three admission rules (run-level peptide q, protein q, protein with 2+ detections) and belongs behind --verbose.","Kept 996,439 of 1,448,698 precursor candidates for cross-run reconciliation.","rewrite","",""
"A7","High","user","default (every run)","Osprey.Tasks/FirstPassFdrTask.cs","2262","LogInfo","once per file","Wrote reconciliation.json for {0} ({1} use_cwt + {2} forced + {3} gap-fill)","use_cwt/forced/gap-fill/actions","'use_cwt' is the JSON action-type identifier. Decided: Skyline's 'peak boundary imputation' vocabulary for forced and gap-fill actions.","Cross-run reconciliation for {file}: 23,509 peaks to re-pick, 13,416 peak boundaries to impute, 131 missing peaks.","rewrite","",""
"A8","High","user","default (every run)","Osprey.Tasks/Stage6Planner.cs","460","LogInfo","once per run","Reconciliation: {0} per-(file, entry) actions planned","entry/entries; use_cwt/forced/gap-fill/actions","Tuple notation from the planner's data model.","Cross-run reconciliation: 110,111 peak re-picks and boundary imputations planned across 3 files.","rewrite","",""
"A9","High","user","default (every run)","Osprey.Tasks/PerFileScoringTask.cs","1571","LogInfo","once per file (82 of 369 lines in the SEA-AD log)","Loaded {0} FDR stubs + features","stubs","'stubs' and 'path' are code words; the parenthetical is a note to a future developer. Decided: one progress heading in this wording replaces the per-file lines.","Loading FDR values from intermediate files for 82 files...","one progress heading replaces the per-file lines; per-file detail behind --verbose","",""
"A9","High","user","default (every run)","Osprey.Tasks/PerFileScoringTask.cs","1604","LogInfo","once per file (82 of 369 lines in the SEA-AD log)","Loaded {0} FDR stubs (features not loaded - not read on this path)","stubs","'stubs' and 'path' are code words; the parenthetical is a note to a future developer. Decided: one progress heading in this wording replaces the per-file lines.","Loading FDR values from intermediate files for 82 files...","one progress heading replaces the per-file lines; per-file detail behind --verbose","",""
