Term in log,Default-tier sites,What it means inside Osprey,Proposed replacement,Brendan decision so far,Notes
sidecar,53,"Any derived file written beside an input or the output (.calibration.json, .1st-pass.fdr_scores.bin, .reconciliation.json, .2nd-pass.fdr_scores.bin, .osprey.task).","name the file, or 'saved results beside the input'",intermediate file / intermediate results file / intermediate analysis file ('intermediate' is the key word), 
entry / entries,61,One library precursor (target or decoy) scored in one run; a dev shorthand for a library row (from 'no O(files x entries)').,precursor candidates (targets + decoys),agreed: dev term, 
numbers without thousands separators,0,"Only 3 of 582 call sites format counts with N0; counts of 5+ digits are common (1448698 entries, 2110341 observations).",use {0:N0} for every count,adopt a thousands separator everywhere,"global rule, not a per-line fix"
compaction / compact,21,Discarding scored candidates that nothing downstream needs so memory is bounded.,'kept N of M candidates for cross-run reconciliation',agreed, 
reconciliation / cross-run reconciliation,25,"Cross-run alignment of peak boundaries and gap-filling (Stage 6). Related published concept: TRIC, TRansfer of Identification Confidence (Rost 2016).",keep; say 'cross-run reconciliation' the first time,keep 'reconciliation'; 'cross-run' carries the meaning; probably the best available, 
survivors / survivor pool / retained set,24,The candidates that pass compaction and are carried into reconciliation and the second pass.,candidates carried forward, , 
base_id / base ids,15,The library entry id shared by a target and its paired decoy.,precursors (or 'library precursors'),"Or ""precursor candidates"" for consistency with above. Seems like ""candidates"" is taking over for ""library entries"" and ""entries""", 
hydrate / rehydrate / hydration,14,Reload a stage's in-memory state from files on disk (resume and HPC paths).,load / reload from intermediate files, , 
"fold (verb), folding",13,Process one run at a time and drop it before the next. Unrelated to the cross-validation 'fold' in the same log.,one run at a time,"Yes. Not a big fan of ""fold"" even as a developer term", 
stratum (protein-compact stratum),7,"The precursors (targets + paired decoys) of every protein with 2+ distinct detected peptides in the first pass; only these get new q-values in the second pass, the rest keep their first-pass q.",state the effect: 'q-values are recomputed only for precursors of proteins with 2+ detected peptides; all others keep their first-pass q-values',"This seems like a very long explanation. I also think ""protein-compact"" is vague. The ""compact"" part is reducing the set to precursor candidates with per-run q value (under consideration) < 0.01, and then in fact enhancing the choices by adding back precursor candidates for proteins with >= peptides that passed this filter. But ""protein-compact"" is currently an argument term for the software. So ""protein-compact subset"" may simply convey the subset considered under this flag. Or ""precursor candidate set with >= 2 detections per protein"", ""detections"" is a well used general term that indicates passing some cut-off without indicating exactly what that cut-off is. Currently is it run-level q value < 1% which has issues, but that is what is counted as a ""detection"" at this stage.", 
projection,2,The 32-byte per-row slice (FdrProjection) loaded for first-pass FDR instead of the full record.,'reading scored results from N files for FDR',"Right. ""projection"" is meaningless here.", 
bundle / envelope,9,The collection of per-file intermediate files the rescore stage needs.,reconciliation plan,"In the context of ""cross-run reconciliation"" I think I can get what it might refer to, but ""reconciliation plan"" is totally opaque even to me now.", 
stubs (FDR stubs),6,Lightweight FdrEntry records loaded without feature columns.,drop the line,Loading FDR values from intermediate files, 
scalars (pass-1 scalars),5,"Per-candidate first-pass values (Score, PEP, aggregate score) restored from an intermediate file.",first-pass scores, , 
frozen model,7,The first-pass SVM applied unchanged in the second pass.,"first-pass model, no retraining","Drop. This is referring to the fact that the code is not doing what it used to, which was wrong and never released. If important for testing, it should get moved to a diagnostic verbose channel.", 
competition,10,Target-decoy competition.,target-decoy competition (spelled out), , 
use_cwt / forced / gap-fill / action(s),14,"The three reconciliation change types per (file, peptide): re-pick with the CWT peak finder; force boundaries from consensus; integrate an undetected peptide.",peaks re-picked / boundaries forced / gap-filled; 'peak adjustments',"In Skyline, we have adopted a ""peak boundary imputation"" term. So: peaks re-picked / peak boundaries imputed / peak boundaries imputed for missing peaks. Maybe…", 
Stage 1-4 / 5 / 6 / 7,12,"Internal numbering: 1-4 per-file scoring, 5 first-pass FDR, 6 reconciliation + rescore, 7 second-pass FDR + protein FDR + blib.",name the phase,"Absolutely. Stages are not expected to be understood by users. The major tasks are, since they are covered in the command-line help for --task", 
resident,5,Held in memory.,in memory (or drop),"Again, assess for whether this is important for a user, or more for testing use. If testing, make it diagnostic output.", 
worker / fan-out / join,5,HPC: per-file task leg vs the merge leg.,per-file run / merge,, 
byproduct / interned / parquet index,4,Memory-management internals.,drop the line,"Again, assess for whether this is important for a user, or more for testing use. If testing, make it diagnostic output.", 
boundary file pair,3,The .reconciliation.json + .1st-pass.fdr_scores.bin pair handed from the first-pass leg to a rescore leg.,'the intermediate files the next task needs',"Probably just stick with ""intermediate files"". That the next task needs them is probably to much of an internal detail here.", 
coelution analysis / coelution results,6,Stage 1-4 fragment co-elution scoring.,keep; say 'peak scoring' or 'search' once,"Coelution is a known mass spec term, especially for DIA. It implies the XIC curves for the peak match. It doesn't necessarily need to be removed from all communication. Skyline has a ""coelution score"".", 
"enum ToString (UnitResolution, DiannTsv, Reverse, percolator)",4,Enum names printed as-is in the startup banner and decoy line.,explicit display strings matching the CLI words,"Yeah. Follow the Skyline example of how to convert enums to strings, with some consideration that we may move everything to RESX files and translate to Chinese and Japanese, which would itself be a big task for Osprey and may happen after its initial release.", 
[TASK] Name:status,3,Task markers used as section headers; parsed by ai/scripts/perfviz.py and asserted by regression.ps1.,"keep the marker, add a plain header line",I like these and I think the names are the same as the --task argument values. They can have real value to a user that is interested in HPC and learning these terms., 
OSPREY_* env var named in default mode,15,A1 names OSPREY_PASS2_QVALUE=protein-compact although it is the default.,name a variable only when the user set it,"It should no longer do that. Don't name an env var when the path happened by default without any indication the user knew about the env var, which are generally considered developer facing.", 
